 ;Energy Meter 141 / Counter reading of power drawn counter / Meter Change  [kWh]0
00:15;1.556
00:30;1.460
00:45;1.404
01:00;1.380
01:15;1.372
01:30;1.280
01:45;1.264
02:00;1.252
02:15;1.228
02:30;1.224
02:45;1.200
03:00;1.216
03:15;1.264
03:30;1.268
03:45;1.264
04:00;1.272
04:15;1.260
04:30;1.264
04:45;1.268
05:00;1.264
05:15;1.256
05:30;1.200
05:45;1.204
06:00;1.196
06:15;1.168
06:30;1.136
06:45;1.140
07:00;0.864
07:15;0.852
07:30;0.816
07:45;0.812
08:00;0.792
08:15;1.044
08:30;0.836
08:45;0.848
09:00;1.056
09:15;1.324
09:30;0.996
09:45;0.996
10:00;1.032
10:15;1.128
10:30;1.396
10:45;1.152
11:00;1.184
11:15;1.280
11:30;1.284
11:45;1.452
12:00;1.440
12:15;1.796
12:30;1.864
12:45;1.544
13:00;1.309
13:15;1.296
13:30;1.316
13:45;1.332
14:00;1.556
14:15;1.392
14:30;1.400
14:45;1.452
15:00;1.667
15:15;1.561
15:30;1.600
15:45;1.620
16:00;1.588
16:15;1.588
16:30;1.640
16:45;1.612
17:00;1.576
17:15;1.588
17:30;1.580
17:45;1.720
18:00;1.636
18:15;1.879
18:30;1.948
18:45;1.665
19:00;1.780
19:15;2.507
19:30;2.636
19:45;2.776
20:00;2.800
20:15;2.828
20:30;2.664
20:45;2.672
21:00;2.580
21:15;2.640
21:30;2.584
21:45;2.544
22:00;2.540
22:15;2.408
22:30;2.240
22:45;2.144
23:00;2.068
23:15;1.924
23:30;1.820
23:45;1.748
00:00;1.712
